image_name,plate_number,confidence
1.jpg,HR26D05551,0.16
2.jpg,IND22BH65IZL,0.12
3.jpg,HZ00YZ366,0.24
4.jpg,HP96S7,0.78
6.jpg,HH12DE1433,0.83
7.jpg,HKOTAY8866,0.73
8.jpg,HHO1DP2763,0.87
